alias,club_name,team_id
Ascoli Picchio,Ascoli,202606100025
Brescia Calcio (- 2025),Brescia,202606100062
Calcio Lecco 1912,Lecco,202606100217
Carpi FC 1909,Carpi,202606100077
Carrarese Calcio 1908,Carrarese,202606100078
Cesena FC,Cesena,202606100084
Delfino Pescara 1936,Pescara,202606100297
FC Bari 1908,Bari,202606100038
FC Bologna,Bologna,202606100052
FC Empoli,Empoli,202606100123
FC Pro Vercelli 1892,Pro Vercelli,202606100308
Juventus Turin,Juventus,202606100200
Lazio Rome,Lazio,202606100213
Novara Calcio 1908,Novara,202606100273
Palerme FC,Palermo,202606100288
Pisa Sporting Club,Pisa,202606100299
Ternana Unicusano Calcio,Ternana,202606100390
US Alessandria Calcio 1912,Alessandria,202606100012
US Avellino 1912,Avellino,202606100033
US Palermo,Palermo,202606100288
US Salernitana 1919,Salernitana,202606100348
AS Nancy-Lorraine,Nancy,202606100263
Chamois Niortais FC,Niort,202606100270
Clermont Foot 63,Clermont Foot,202606100091
FC Annecy,Annecy,202606100019
Football Bourg-en-Bresse Péronnas 01,Bourg-en-Bresse,202606100057
Le Mans FC,Le Mans,202606100215
Montpellier Hérault SC,Montpellier,202606100261
Quevilly - Rouen Métropole,Quevilly Rouen,202606100313
Quevilly Rouen Métropole,Quevilly Rouen,202606100313
RC Strasbourg Alsace,Strasbourg,202606100382
Stade Rennais FC,Rennes,202606100335
Atlético de Madrid,Atlético Madrid,202606100029
CE Sabadell FC,Sabadell,202606100346
CF Rayo Majadahonda,Rayo Majadahonda,202606100323
Espanyol Barcelona,Espanyol,202606100126
FC Barcelona B,Barcelona B,202606100037
FC Barcelone,Barcelona,202606100036
FC Córdoba,Córdoba,202606100103
FC Getafe,Getafe,202606100168
FC Granada,Granada,202606100172
FC Valencia,Valencia,202606100405
Racing de Ferrol,Racing Ferrol,202606100318
Real Betis Balompié,Real Betis,202606100326
Real Sociedad B,Real Sociedad B,202606100329
Sevilla Atlético,Sevilla B,202606100356
Séville FC,Sevilla,202606100355
UD Levante,Levante,202606100224
Villarreal CF B,Villarreal B,202606100414
AFC Sunderland,Sunderland,202606100385
Arsenal FC,Arsenal,202606100024
Barnsley FC,Barnsley,202606100039
Blackpool FC,Blackpool,202606100049
Burnley FC,Burnley,202606100068
Chelsea FC,Chelsea,202606100087
FC Brentford,Brentford,202606100061
FC Everton,Everton,202606100127
FC Fulham,Fulham,202606100163
FC Liverpool,Liverpool,202606100227
FC Millwall,Millwall,202606100255
FC Portsmouth,Portsmouth,202606100305
FC Reading,Reading,202606100325
FC Southampton,Southampton,202606100371
FC Watford,Watford,202606100418
Middlesbrough FC,Middlesbrough,202606100253
1.FC Heidenheim 1846,FC Heidenheim,202606100135
1.FC Kaiserslautern,Kaiserslautern,202606100203
1.FC Magdeburg,1. FC Magdeburg,202606100001
1.FC Nürnberg,Nuernberg,202606100274
1.FC Union Berlin,Union Berlin,202606100401
1.FSV Mainz 05,Mainz 05,202606100244
Bayer 04 Leverkusen,Bayer Leverkusen,202606100041
Eintracht Francfort,Eintracht Frankfurt,202606100120
FC Erzgebirge Aue,Erzgebirge Aue,202606100125
FC Hansa Rostock,Hansa Rostock,202606100181
FC Ingolstadt 04,Ingolstadt 04,202606100194
FC Schalke 04,Schalke 04,202606100353
SC Fribourg,Freiburg,202606100160
SC Paderborn 07,Paderborn,202606100285
SG Dynamo Dresden,Dynamo Dresden,202606100116
SSV Jahn Regensburg,Jahn Regensburg,202606100198
SSV Ulm 1846,Ulm,202606100400
SV 07 Elversberg,SV Elversberg,202606100345
SV Darmstadt 98,Darmstadt 98,202606100104
SV Sandhausen,Sandhausen,202606100351
SV Wehen Wiesbaden,Wehen Wiesbaden,202606100419
SV Werder Bremen,Werder Bremen,202606100420
SpVgg Greuther Fürth,Greuther Fürth,202606100174
